# Apple (AAPL) - Daily OHLCV Data
# Source: Yahoo Finance
# Downloaded: 2026-06-19 01:52:29
# Bars: 11471
# Date Range: 1980-12-12 to 2026-06-18
#
date,open,high,low,close,volume,adjclose
1980-12-12,0.13,0.13,0.13,0.13,469033600,0.1
1980-12-15,0.12,0.12,0.12,0.12,175884800,0.09
1980-12-16,0.11,0.11,0.11,0.11,105728000,0.09
1980-12-17,0.12,0.12,0.12,0.12,86441600,0.09
1980-12-18,0.12,0.12,0.12,0.12,73449600,0.09
1980-12-19,0.13,0.13,0.13,0.13,48630400,0.1
1980-12-22,0.13,0.13,0.13,0.13,37363200,0.1
1980-12-23,0.14,0.14,0.14,0.14,46950400,0.11
1980-12-24,0.15,0.15,0.15,0.15,48003200,0.11
1980-12-26,0.16,0.16,0.16,0.16,55574400,0.12
1980-12-29,0.16,0.16,0.16,0.16,93161600,0.12
1980-12-30,0.16,0.16,0.16,0.16,68880000,0.12
1980-12-31,0.15,0.15,0.15,0.15,35750400,0.12
1981-01-02,0.15,0.16,0.15,0.15,21660800,0.12
1981-01-05,0.15,0.15,0.15,0.15,35728000,0.12
1981-01-06,0.14,0.14,0.14,0.14,45158400,0.11
1981-01-07,0.14,0.14,0.14,0.14,55686400,0.11
1981-01-08,0.14,0.14,0.14,0.14,39827200,0.1
1981-01-09,0.14,0.14,0.14,0.14,21504000,0.11
1981-01-12,0.14,0.14,0.14,0.14,23699200,0.11
1981-01-13,0.14,0.14,0.14,0.14,23049600,0.1
1981-01-14,0.14,0.14,0.14,0.14,14291200,0.1
1981-01-15,0.14,0.14,0.14,0.14,14067200,0.11
1981-01-16,0.14,0.14,0.14,0.14,13395200,0.11
1981-01-19,0.15,0.15,0.15,0.15,41574400,0.11
1981-01-20,0.14,0.14,0.14,0.14,30083200,0.11
1981-01-21,0.15,0.15,0.15,0.15,15904000,0.11
1981-01-22,0.15,0.15,0.15,0.15,35548800,0.11
1981-01-23,0.15,0.15,0.15,0.15,11222400,0.11
1981-01-26,0.14,0.14,0.14,0.14,24640000,0.11
1981-01-27,0.14,0.14,0.14,0.14,23699200,0.11
1981-01-28,0.14,0.14,0.14,0.14,28156800,0.11
1981-01-29,0.13,0.13,0.13,0.13,43904000,0.1
1981-01-30,0.13,0.13,0.13,0.13,46188800,0.1
1981-02-02,0.12,0.12,0.12,0.12,23766400,0.09
1981-02-03,0.12,0.12,0.12,0.12,19152000,0.09
1981-02-04,0.13,0.13,0.13,0.13,27865600,0.1
1981-02-05,0.13,0.13,0.13,0.13,7929600,0.1
1981-02-06,0.13,0.13,0.13,0.13,13865600,0.1
1981-02-09,0.12,0.12,0.12,0.12,16755200,0.09
1981-02-10,0.12,0.12,0.12,0.12,18345600,0.09
1981-02-11,0.12,0.12,0.12,0.12,13843200,0.09
1981-02-12,0.12,0.12,0.12,0.12,14560000,0.09
1981-02-13,0.11,0.11,0.11,0.11,11155200,0.09
1981-02-17,0.12,0.12,0.12,0.12,12275200,0.09
1981-02-18,0.12,0.12,0.12,0.12,19241600,0.09
1981-02-19,0.11,0.11,0.11,0.11,22310400,0.09
1981-02-20,0.11,0.11,0.11,0.11,24371200,0.08
1981-02-23,0.11,0.11,0.11,0.11,14112000,0.08
1981-02-24,0.11,0.11,0.11,0.11,16979200,0.08
1981-02-25,0.11,0.11,0.11,0.11,19488000,0.09
1981-02-26,0.11,0.11,0.11,0.11,10841600,0.09
1981-02-27,0.12,0.12,0.12,0.12,14761600,0.09
1981-03-02,0.12,0.12,0.12,0.12,11760000,0.09
1981-03-03,0.12,0.12,0.12,0.12,16172800,0.09
1981-03-04,0.12,0.12,0.12,0.12,13708800,0.09
1981-03-05,0.12,0.12,0.12,0.12,5376000,0.09
1981-03-06,0.12,0.12,0.11,0.11,11603200,0.09
1981-03-09,0.11,0.11,0.11,0.11,15321600,0.08
1981-03-10,0.1,0.1,0.1,0.1,28380800,0.08
1981-03-11,0.1,0.1,0.1,0.1,29859200,0.07
1981-03-12,0.1,0.1,0.1,0.1,59248000,0.08
1981-03-13,0.1,0.1,0.1,0.1,231302400,0.08
1981-03-16,0.1,0.1,0.1,0.1,37228800,0.08
1981-03-17,0.11,0.11,0.11,0.11,43747200,0.08
1981-03-18,0.11,0.12,0.11,0.11,36937600,0.09
1981-03-19,0.11,0.11,0.11,0.11,37811200,0.09
1981-03-20,0.11,0.12,0.11,0.11,14604800,0.09
1981-03-23,0.12,0.12,0.12,0.12,22019200,0.09
1981-03-24,0.12,0.12,0.12,0.12,28156800,0.09
1981-03-25,0.12,0.12,0.12,0.12,7056000,0.09
1981-03-26,0.11,0.11,0.11,0.11,12275200,0.09
1981-03-27,0.11,0.11,0.11,0.11,12252800,0.08
1981-03-30,0.11,0.11,0.11,0.11,9900800,0.08
1981-03-31,0.11,0.11,0.11,0.11,15993600,0.08
1981-04-01,0.11,0.11,0.11,0.11,34070400,0.08
1981-04-02,0.12,0.12,0.12,0.12,31404800,0.09
1981-04-03,0.12,0.12,0.12,0.12,16486400,0.09
1981-04-06,0.12,0.12,0.12,0.12,22803200,0.09
1981-04-07,0.12,0.12,0.11,0.11,10684800,0.09
1981-04-08,0.12,0.12,0.12,0.12,21952000,0.09
1981-04-09,0.12,0.12,0.12,0.12,12499200,0.09
1981-04-10,0.12,0.12,0.12,0.12,33465600,0.1
1981-04-13,0.12,0.12,0.12,0.12,16060800,0.1
1981-04-14,0.12,0.12,0.12,0.12,6652800,0.1
1981-04-15,0.12,0.12,0.12,0.12,34048000,0.09
1981-04-16,0.11,0.11,0.11,0.11,23878400,0.09
1981-04-20,0.11,0.12,0.11,0.11,35347200,0.09
1981-04-21,0.12,0.12,0.12,0.12,28537600,0.09
1981-04-22,0.13,0.13,0.13,0.13,18995200,0.1
1981-04-23,0.13,0.13,0.13,0.13,58016000,0.1
1981-04-24,0.13,0.13,0.13,0.13,35056000,0.1
1981-04-27,0.13,0.13,0.13,0.13,38528000,0.1
1981-04-28,0.13,0.13,0.13,0.13,32188800,0.1
1981-04-29,0.12,0.12,0.12,0.12,13641600,0.1
1981-04-30,0.13,0.13,0.13,0.13,12611200,0.1
1981-05-01,0.13,0.13,0.13,0.13,16553600,0.1
1981-05-04,0.13,0.13,0.13,0.13,14448000,0.1
1981-05-05,0.13,0.13,0.13,0.13,17539200,0.1
1981-05-06,0.12,0.12,0.12,0.12,18950400,0.09
1981-05-07,0.12,0.12,0.12,0.12,9363200,0.09
1981-05-08,0.12,0.13,0.12,0.12,7907200,0.1
1981-05-11,0.12,0.12,0.12,0.12,11939200,0.09
1981-05-12,0.12,0.12,0.12,0.12,4256000,0.09
1981-05-13,0.12,0.12,0.12,0.12,4905600,0.09
1981-05-14,0.12,0.12,0.12,0.12,4928000,0.09
1981-05-15,0.12,0.12,0.12,0.12,4905600,0.09
1981-05-18,0.12,0.13,0.12,0.12,4166400,0.1
1981-05-19,0.12,0.12,0.12,0.12,25424000,0.09
1981-05-20,0.13,0.13,0.13,0.13,13283200,0.1
1981-05-21,0.13,0.13,0.13,0.13,32211200,0.1
1981-05-22,0.14,0.14,0.14,0.14,31427200,0.11
1981-05-26,0.14,0.14,0.14,0.14,85344000,0.11
1981-05-27,0.15,0.15,0.15,0.15,149497600,0.11
1981-05-28,0.15,0.15,0.15,0.15,73987200,0.11
1981-05-29,0.15,0.15,0.15,0.15,59382400,0.11
1981-06-01,0.15,0.15,0.15,0.15,51251200,0.11
1981-06-02,0.14,0.14,0.14,0.14,40432000,0.11
1981-06-03,0.14,0.14,0.14,0.14,39446400,0.11
1981-06-04,0.14,0.14,0.14,0.14,56067200,0.11
1981-06-05,0.14,0.14,0.14,0.14,57680000,0.11
